SR-CODE,NAME,Semester,Course,ILO1,ILO2,ILO3,ILO4
22-96393,Jose Dela Cruz,5,Fundamentals of Mixed Signals and Sensors,76.2,73.7,75.0,75.2
22-96393,Jose Dela Cruz,5,Feedback and Control Systems,89.7,81.6,73.8,60.0
22-96393,Jose Dela Cruz,5,Introduction to HDL,81.7,79.0,76.6,84.1
22-96393,Jose Dela Cruz,5,Research Methods,89.0,83.8,70.1,68.7
22-96393,Jose Dela Cruz,5,Filipino sa Iba't Ibang Disiplina,81.0,74.5,78.9,73.9
22-96393,Jose Dela Cruz,6,Microprocessors,74.7,86.0,76.2,61.1
22-96393,Jose Dela Cruz,6,Software Design,81.0,80.5,81.4,69.5
22-96393,Jose Dela Cruz,6,Routing and Switching (CISCO 2),86.2,80.0,67.7,63.0
22-96393,Jose Dela Cruz,6,Digital Signal Processing,88.9,86.9,78.4,81.3
22-96393,Jose Dela Cruz,6,Emerging Technologies in CpE,87.6,82.9,70.1,81.9
22-96393,Jose Dela Cruz,6,CpE Practice and Design 1,84.8,76.8,71.8,73.3
22-96393,Jose Dela Cruz,6,Cognate/Elective Course 2,71.2,83.0,69.9,73.7
22-96393,Jose Dela Cruz,7,Scaling Networks (CISCO 3),78.1,77.2,71.0,70.5
22-96393,Jose Dela Cruz,7,Operating Systems,92.6,87.1,77.7,71.4
22-96393,Jose Dela Cruz,7,Computer Architecture and Organization,86.3,85.6,70.6,71.0
22-96393,Jose Dela Cruz,7,Computer Engineering Drafting and Design,70.3,85.5,87.9,72.0
22-96393,Jose Dela Cruz,7,Connecting Networks and Security (CISCO 4),68.5,82.5,70.2,67.5
22-96393,Jose Dela Cruz,7,Embedded Systems,85.0,80.3,72.6,67.6
22-96393,Jose Dela Cruz,7,Seminars and Fieldtrips,82.3,76.7,69.2,69.8
22-96393,Jose Dela Cruz,7,Manufacturing and Quality Control,83.3,77.7,67.1,77.4
22-96393,Jose Dela Cruz,7,Cognate/Elective Course 3 (Data Mining / AI Track),64.8,76.1,71.9,72.4
22-96393,Jose Dela Cruz,7,ASEAN Literature,84.9,85.9,71.6,75.3
22-96393,Jose Dela Cruz,8,Technopreneurship,82.7,68.9,87.3,63.1
22-96393,Jose Dela Cruz,8,On-the-Job Training,84.1,81.5,77.5,68.8
22-96393,Jose Dela Cruz,8,CpE Practice and Design 2,86.5,69.8,75.5,68.4
22-96298,Jose Santos,1,Introduction to Engineering,72.5,76.9,77.7,65.4
22-96298,Jose Santos,1,Understanding the Self,81.3,74.6,65.9,65.9
22-96298,Jose Santos,1,Mathematics in the Modern World,74.4,69.7,73.4,68.4
22-96298,Jose Santos,1,Readings in Philippine History,67.1,64.4,73.8,62.5
22-96298,Jose Santos,1,Purposive Communication,78.4,79.0,63.6,60.0
22-96298,Jose Santos,1,Differential Calculus,86.2,76.0,68.3,61.4
22-96298,Jose Santos,1,General Chemistry,73.1,66.7,76.1,62.4
22-96298,Jose Santos,1,Computer Programming 1,84.9,73.6,66.6,66.4
22-96298,Jose Santos,2,Engineering Drawing,60.0,72.3,69.0,71.2
22-96298,Jose Santos,2,Contemporary World,65.3,81.3,76.2,74.9
22-96298,Jose Santos,2,Art Appreciation,76.3,80.4,62.4,71.7
22-96298,Jose Santos,2,"Science, Technology and Society",72.0,64.4,64.5,67.4
22-96298,Jose Santos,2,Integral Calculus,71.2,76.1,60.0,60.0
22-96298,Jose Santos,2,Physics 1,84.4,79.3,64.5,67.0
22-96298,Jose Santos,3,Life and Works of Rizal,82.7,76.8,72.1,74.0
22-96298,Jose Santos,3,Ethics,72.2,74.5,71.1,65.8
22-96298,Jose Santos,3,Modern Biology,73.8,74.3,71.0,60.7
22-96298,Jose Santos,3,Computer Engineering as a Discipline,81.4,68.4,69.9,65.6
22-96298,Jose Santos,3,Programming Logic and Design,80.5,63.3,78.2,64.9
22-96298,Jose Santos,3,Discrete Mathematics,83.5,71.0,70.5,78.5
22-96298,Jose Santos,3,Fundamentals of Electrical Engineering,73.7,80.5,70.3,68.8
22-96298,Jose Santos,3,Computer-Aided Design,75.7,78.2,65.9,60.4
22-96298,Jose Santos,4,Engineering Economics,72.8,74.9,69.9,71.7
22-96298,Jose Santos,4,Engineering Data Analysis,84.0,68.0,66.4,60.0
22-96298,Jose Santos,4,Differential Equations,88.4,75.7,73.7,60.0
22-96298,Jose Santos,4,Object Oriented Programming,78.3,79.0,71.3,75.4
22-96298,Jose Santos,4,Advanced Engineering Mathematics for CpE,90.0,68.2,64.7,61.8
22-96298,Jose Santos,4,Cognate/Elective Course 1,88.0,82.2,72.0,69.1
22-96298,Jose Santos,4,Electronic Circuits: Devices and Analysis,70.4,78.4,67.8,64.7
22-96298,Jose Santos,4,Basic Occupational Health and Safety,80.3,73.2,69.8,67.5
22-96298,Jose Santos,4,Numerical Methods,80.9,83.8,74.4,71.9
22-96298,Jose Santos,4,Kontekstwalisadong Komunikasyon sa Filipino,75.4,70.1,75.2,68.4
22-96298,Jose Santos,5,Logic Circuits and Design,66.8,71.1,69.6,63.2
22-96298,Jose Santos,5,Data Structures and Algorithms,87.2,78.8,81.1,70.5
22-96298,Jose Santos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",78.8,70.3,72.9,69.0
22-96298,Jose Santos,5,Fundamentals of Mixed Signals and Sensors,67.1,69.8,68.1,68.8
22-96298,Jose Santos,5,Feedback and Control Systems,78.9,70.4,73.7,65.9
22-96298,Jose Santos,5,Introduction to HDL,60.0,70.2,76.5,60.0
22-96298,Jose Santos,5,Research Methods,77.3,83.8,66.7,67.4
22-96298,Jose Santos,5,Filipino sa Iba't Ibang Disiplina,68.8,84.1,70.7,67.7
22-96298,Jose Santos,6,Microprocessors,83.5,77.0,64.8,62.4
22-96298,Jose Santos,6,Software Design,81.3,72.2,60.1,68.6
22-96298,Jose Santos,6,Routing and Switching (CISCO 2),69.4,85.7,73.9,63.5
22-96298,Jose Santos,6,Digital Signal Processing,72.0,62.6,64.2,73.1
22-96298,Jose Santos,6,Emerging Technologies in CpE,91.7,80.3,72.3,66.3
22-96298,Jose Santos,6,CpE Practice and Design 1,70.9,86.7,70.1,80.1
22-96298,Jose Santos,6,Cognate/Elective Course 2,86.7,65.5,68.8,64.9
22-96298,Jose Santos,7,Scaling Networks (CISCO 3),77.8,75.6,90.8,62.5
22-96298,Jose Santos,7,Operating Systems,79.7,79.7,72.8,69.6
22-96298,Jose Santos,7,Computer Architecture and Organization,69.1,73.7,73.1,68.3
22-96298,Jose Santos,7,Computer Engineering Drafting and Design,78.7,81.5,75.7,66.7
22-96298,Jose Santos,7,Connecting Networks and Security (CISCO 4),71.3,72.4,71.5,70.4
22-96298,Jose Santos,7,Embedded Systems,72.5,67.5,62.9,60.0
22-96298,Jose Santos,7,Seminars and Fieldtrips,75.2,65.5,65.2,65.0
22-96298,Jose Santos,7,Manufacturing and Quality Control,67.3,75.3,74.5,63.0
22-96298,Jose Santos,7,Cognate/Elective Course 3 (Data Mining / AI Track),75.7,79.2,68.6,64.2
22-96298,Jose Santos,7,ASEAN Literature,83.8,79.6,74.9,73.0
22-96298,Jose Santos,8,Technopreneurship,64.7,82.4,73.6,73.5
22-96298,Jose Santos,8,On-the-Job Training,78.9,74.6,69.6,69.6
22-96298,Jose Santos,8,CpE Practice and Design 2,74.7,79.5,61.7,64.2
22-25245,Luis Santos,1,Introduction to Engineering,90.0,71.6,70.8,63.1
22-25245,Luis Santos,1,Understanding the Self,79.7,70.9,71.1,73.5
22-25245,Luis Santos,1,Mathematics in the Modern World,72.4,79.0,76.2,73.7
22-25245,Luis Santos,1,Readings in Philippine History,78.5,94.8,78.6,70.3
22-25245,Luis Santos,1,Purposive Communication,72.4,74.8,80.8,78.6
22-25245,Luis Santos,1,Differential Calculus,85.5,79.0,63.7,70.3
22-25245,Luis Santos,1,General Chemistry,69.1,65.4,72.7,70.5
22-25245,Luis Santos,1,Computer Programming 1,85.0,80.2,77.2,64.2
22-25245,Luis Santos,2,Engineering Drawing,76.2,65.5,60.0,72.1
22-25245,Luis Santos,2,Contemporary World,73.2,80.6,78.9,64.6
22-25245,Luis Santos,2,Art Appreciation,81.2,71.4,61.2,69.1
22-25245,Luis Santos,2,"Science, Technology and Society",74.9,72.7,84.1,60.0
22-25245,Luis Santos,2,Integral Calculus,78.9,68.3,76.7,69.2
22-25245,Luis Santos,2,Physics 1,78.9,68.6,66.6,73.0
22-25245,Luis Santos,3,Life and Works of Rizal,88.3,78.2,66.9,70.4
22-25245,Luis Santos,3,Ethics,92.2,76.0,81.0,63.9
22-25245,Luis Santos,3,Modern Biology,76.3,78.0,73.6,62.8
22-25245,Luis Santos,3,Computer Engineering as a Discipline,72.8,81.3,79.4,77.4
22-25245,Luis Santos,3,Programming Logic and Design,90.4,78.0,72.2,78.2
22-25245,Luis Santos,3,Discrete Mathematics,80.9,68.4,65.0,70.3
22-25245,Luis Santos,3,Fundamentals of Electrical Engineering,75.8,74.4,77.9,72.2
22-25245,Luis Santos,3,Computer-Aided Design,84.8,62.9,73.0,71.8
22-25245,Luis Santos,4,Engineering Economics,68.5,71.4,67.2,68.5
22-25245,Luis Santos,4,Engineering Data Analysis,86.4,86.4,66.3,70.6
22-25245,Luis Santos,4,Differential Equations,79.9,76.6,73.6,69.2
22-25245,Luis Santos,4,Object Oriented Programming,89.7,83.8,67.7,74.8
22-25245,Luis Santos,4,Advanced Engineering Mathematics for CpE,81.9,76.2,78.0,68.5
22-25245,Luis Santos,4,Cognate/Elective Course 1,80.8,78.0,61.9,69.6
22-25245,Luis Santos,4,Electronic Circuits: Devices and Analysis,72.8,67.4,80.1,70.6
22-25245,Luis Santos,4,Basic Occupational Health and Safety,77.5,72.0,74.0,74.3
22-25245,Luis Santos,4,Numerical Methods,71.6,74.3,76.4,60.0
22-25245,Luis Santos,4,Kontekstwalisadong Komunikasyon sa Filipino,77.3,72.8,71.4,65.4
22-25245,Luis Santos,5,Logic Circuits and Design,77.7,86.1,69.5,69.4
22-25245,Luis Santos,5,Data Structures and Algorithms,91.6,73.9,84.9,70.1
22-25245,Luis Santos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",90.3,81.7,75.9,69.7
22-25245,Luis Santos,5,Fundamentals of Mixed Signals and Sensors,73.1,75.0,76.8,67.5
22-25245,Luis Santos,5,Feedback and Control Systems,74.7,72.8,77.2,74.7
22-25245,Luis Santos,5,Introduction to HDL,72.8,70.5,73.7,76.8
22-25245,Luis Santos,5,Research Methods,84.6,67.8,70.7,62.8
22-25245,Luis Santos,5,Filipino sa Iba't Ibang Disiplina,76.1,85.0,63.7,60.0
22-25245,Luis Santos,6,Microprocessors,71.9,76.3,75.2,70.2
22-25245,Luis Santos,6,Software Design,86.7,66.7,81.2,68.2
22-25245,Luis Santos,6,Routing and Switching (CISCO 2),84.0,69.3,74.1,71.5
22-25245,Luis Santos,6,Digital Signal Processing,83.5,64.8,71.4,60.9
22-25245,Luis Santos,6,Emerging Technologies in CpE,82.7,81.9,81.8,66.9
22-25245,Luis Santos,6,CpE Practice and Design 1,83.2,83.5,62.4,72.0
22-25245,Luis Santos,6,Cognate/Elective Course 2,85.4,75.7,66.8,75.7
22-25245,Luis Santos,7,Scaling Networks (CISCO 3),72.4,76.2,73.8,74.4
22-25245,Luis Santos,7,Operating Systems,75.9,73.1,74.6,76.1
22-25245,Luis Santos,7,Computer Architecture and Organization,90.6,65.5,73.4,61.1
22-25245,Luis Santos,7,Computer Engineering Drafting and Design,83.0,68.9,67.4,64.1
22-25245,Luis Santos,7,Connecting Networks and Security (CISCO 4),79.2,79.2,76.9,70.0
22-25245,Luis Santos,7,Embedded Systems,68.9,78.9,71.1,74.6
22-25245,Luis Santos,7,Seminars and Fieldtrips,73.4,65.7,72.0,76.1
22-25245,Luis Santos,7,Manufacturing and Quality Control,77.8,73.3,66.2,78.2
22-25245,Luis Santos,7,Cognate/Elective Course 3 (Data Mining / AI Track),73.4,72.9,77.5,60.0
22-25245,Luis Santos,7,ASEAN Literature,85.3,79.1,77.6,71.7
22-25245,Luis Santos,8,Technopreneurship,76.7,69.0,71.4,62.5
22-25245,Luis Santos,8,On-the-Job Training,80.6,80.2,81.1,70.6
22-25245,Luis Santos,8,CpE Practice and Design 2,83.2,73.6,69.4,71.2
22-82078,Rafael Santos,1,Introduction to Engineering,73.7,75.4,64.4,61.6
22-82078,Rafael Santos,1,Understanding the Self,79.9,79.1,64.8,71.0
22-82078,Rafael Santos,1,Mathematics in the Modern World,74.4,75.4,80.7,73.2
22-82078,Rafael Santos,1,Readings in Philippine History,80.8,85.2,66.5,61.0
22-82078,Rafael Santos,1,Purposive Communication,71.7,72.2,60.0,65.7
22-82078,Rafael Santos,1,Differential Calculus,74.4,80.0,74.3,64.7
22-82078,Rafael Santos,1,General Chemistry,81.2,79.7,67.6,65.4
22-82078,Rafael Santos,1,Computer Programming 1,62.3,66.9,65.9,67.1
22-82078,Rafael Santos,2,Engineering Drawing,69.2,69.5,62.2,66.9
22-82078,Rafael Santos,2,Contemporary World,78.6,76.2,70.8,60.0
22-82078,Rafael Santos,2,Art Appreciation,72.3,71.3,68.3,67.4
22-82078,Rafael Santos,2,"Science, Technology and Society",84.6,78.6,64.8,71.0
22-82078,Rafael Santos,2,Integral Calculus,81.5,70.5,77.3,67.4
22-82078,Rafael Santos,2,Physics 1,69.2,78.0,73.5,67.0
22-82078,Rafael Santos,3,Life and Works of Rizal,75.8,69.5,74.4,66.7
22-82078,Rafael Santos,3,Ethics,77.1,75.9,63.8,61.6
22-82078,Rafael Santos,3,Modern Biology,64.4,78.7,64.9,69.1
22-82078,Rafael Santos,3,Computer Engineering as a Discipline,78.3,77.4,63.5,66.5
22-82078,Rafael Santos,3,Programming Logic and Design,85.7,83.7,76.3,68.6
22-82078,Rafael Santos,3,Discrete Mathematics,71.6,79.6,71.3,71.7
22-82078,Rafael Santos,3,Fundamentals of Electrical Engineering,71.0,71.5,70.6,67.3
22-82078,Rafael Santos,3,Computer-Aided Design,77.8,69.1,61.5,75.6
22-82078,Rafael Santos,4,Engineering Economics,91.0,76.5,62.8,62.3
22-82078,Rafael Santos,4,Engineering Data Analysis,80.7,83.4,64.9,67.6
22-82078,Rafael Santos,4,Differential Equations,78.8,80.5,70.1,60.0
22-82078,Rafael Santos,4,Object Oriented Programming,79.4,80.2,69.9,69.0
22-82078,Rafael Santos,4,Advanced Engineering Mathematics for CpE,74.8,70.2,78.4,70.7
22-82078,Rafael Santos,4,Cognate/Elective Course 1,78.6,82.4,64.1,63.3
22-82078,Rafael Santos,4,Electronic Circuits: Devices and Analysis,75.8,69.2,74.3,64.7
22-82078,Rafael Santos,4,Basic Occupational Health and Safety,70.1,74.2,71.8,72.5
22-82078,Rafael Santos,4,Numerical Methods,80.0,78.1,74.1,67.2
22-82078,Rafael Santos,4,Kontekstwalisadong Komunikasyon sa Filipino,71.8,75.5,68.7,77.1
22-82078,Rafael Santos,5,Logic Circuits and Design,82.9,76.4,71.9,65.3
22-82078,Rafael Santos,5,Data Structures and Algorithms,68.1,72.1,71.0,68.0
22-82078,Rafael Santos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",78.5,79.0,66.2,62.5
22-82078,Rafael Santos,5,Fundamentals of Mixed Signals and Sensors,83.5,77.2,67.2,65.2
22-82078,Rafael Santos,5,Feedback and Control Systems,77.0,75.5,75.0,83.5
22-82078,Rafael Santos,5,Introduction to HDL,76.0,76.6,60.0,62.9
22-82078,Rafael Santos,5,Research Methods,83.4,76.2,60.0,71.0
22-82078,Rafael Santos,5,Filipino sa Iba't Ibang Disiplina,87.6,61.8,79.8,60.0
22-82078,Rafael Santos,6,Microprocessors,80.5,72.5,60.0,68.5
22-82078,Rafael Santos,6,Software Design,82.6,75.6,73.9,64.1
22-82078,Rafael Santos,6,Routing and Switching (CISCO 2),64.5,77.6,80.9,73.4
22-82078,Rafael Santos,6,Digital Signal Processing,65.7,66.2,67.1,60.0
22-82078,Rafael Santos,6,Emerging Technologies in CpE,76.0,75.8,61.8,71.3
22-82078,Rafael Santos,6,CpE Practice and Design 1,79.7,70.5,69.7,60.0
22-82078,Rafael Santos,6,Cognate/Elective Course 2,73.7,73.5,71.4,68.9
22-82078,Rafael Santos,7,Scaling Networks (CISCO 3),77.2,71.8,72.1,72.6
22-82078,Rafael Santos,7,Operating Systems,75.1,75.3,69.3,62.7
22-82078,Rafael Santos,7,Computer Architecture and Organization,78.0,69.2,71.9,66.0
22-82078,Rafael Santos,7,Computer Engineering Drafting and Design,73.0,70.6,66.5,60.0
22-82078,Rafael Santos,7,Connecting Networks and Security (CISCO 4),78.0,74.8,75.5,63.4
22-82078,Rafael Santos,7,Embedded Systems,86.2,70.3,64.3,60.0
22-82078,Rafael Santos,7,Seminars and Fieldtrips,65.7,83.0,79.0,70.5
22-82078,Rafael Santos,7,Manufacturing and Quality Control,69.4,83.4,67.5,64.2
22-82078,Rafael Santos,7,Cognate/Elective Course 3 (Data Mining / AI Track),84.3,77.4,83.6,68.1
22-82078,Rafael Santos,7,ASEAN Literature,73.7,70.1,60.0,65.3
22-82078,Rafael Santos,8,Technopreneurship,82.9,77.4,70.9,61.0
22-82078,Rafael Santos,8,On-the-Job Training,77.4,79.9,73.3,67.9
22-82078,Rafael Santos,8,CpE Practice and Design 2,71.3,79.0,60.0,69.2
22-46604,Gabriel Garcia,1,Introduction to Engineering,97.9,71.0,75.3,72.6
22-46604,Gabriel Garcia,1,Understanding the Self,79.7,86.3,79.6,73.5
22-46604,Gabriel Garcia,1,Mathematics in the Modern World,87.0,79.8,95.5,73.2
22-46604,Gabriel Garcia,1,Readings in Philippine History,83.7,69.8,73.5,79.5
22-46604,Gabriel Garcia,1,Purposive Communication,74.5,67.1,76.9,80.8
22-46604,Gabriel Garcia,1,Differential Calculus,82.5,77.7,65.3,75.0
22-46604,Gabriel Garcia,1,General Chemistry,86.2,69.0,83.3,76.9
22-46604,Gabriel Garcia,1,Computer Programming 1,88.9,83.1,80.3,75.4
22-46604,Gabriel Garcia,2,Engineering Drawing,88.5,69.8,68.4,68.9
22-46604,Gabriel Garcia,2,Contemporary World,81.7,82.4,78.7,79.3
22-46604,Gabriel Garcia,2,Art Appreciation,89.4,74.8,78.2,67.5
22-46604,Gabriel Garcia,2,"Science, Technology and Society",81.4,82.0,60.0,87.1
22-46604,Gabriel Garcia,2,Integral Calculus,85.6,76.2,88.0,70.3
22-46604,Gabriel Garcia,2,Physics 1,83.0,76.8,86.4,71.7
22-46604,Gabriel Garcia,3,Life and Works of Rizal,83.4,87.3,80.3,72.3
22-46604,Gabriel Garcia,3,Ethics,89.2,95.3,78.6,73.3
22-46604,Gabriel Garcia,3,Modern Biology,83.2,87.6,72.9,70.7
22-46604,Gabriel Garcia,3,Computer Engineering as a Discipline,73.3,72.9,73.6,72.3
22-46604,Gabriel Garcia,3,Programming Logic and Design,92.7,82.9,70.9,67.9
22-46604,Gabriel Garcia,3,Discrete Mathematics,90.4,86.5,76.6,69.7
22-46604,Gabriel Garcia,3,Fundamentals of Electrical Engineering,90.0,74.8,79.8,86.9
22-46604,Gabriel Garcia,3,Computer-Aided Design,84.5,76.1,79.9,70.4
22-46604,Gabriel Garcia,4,Engineering Economics,74.2,84.3,83.5,70.8
22-46604,Gabriel Garcia,4,Engineering Data Analysis,79.9,74.0,75.5,69.0
22-46604,Gabriel Garcia,4,Differential Equations,76.1,91.1,79.2,75.8
22-46604,Gabriel Garcia,4,Object Oriented Programming,87.4,84.3,73.9,73.9
22-46604,Gabriel Garcia,4,Advanced Engineering Mathematics for CpE,80.6,82.4,78.5,70.0
22-46604,Gabriel Garcia,4,Cognate/Elective Course 1,74.1,80.5,75.1,60.9
22-46604,Gabriel Garcia,4,Electronic Circuits: Devices and Analysis,86.3,86.6,92.6,70.9
22-46604,Gabriel Garcia,4,Basic Occupational Health and Safety,79.3,73.4,78.0,73.8
22-46604,Gabriel Garcia,4,Numerical Methods,77.3,78.7,64.6,77.9
22-46604,Gabriel Garcia,4,Kontekstwalisadong Komunikasyon sa Filipino,77.9,79.8,68.2,69.1
22-46604,Gabriel Garcia,5,Logic Circuits and Design,81.6,80.7,80.3,81.9
22-46604,Gabriel Garcia,5,Data Structures and Algorithms,86.5,85.4,85.0,75.7
22-46604,Gabriel Garcia,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",81.9,85.7,82.8,76.1
22-46604,Gabriel Garcia,5,Fundamentals of Mixed Signals and Sensors,74.5,75.7,75.8,77.9
22-46604,Gabriel Garcia,5,Feedback and Control Systems,82.1,86.6,84.3,79.5
22-46604,Gabriel Garcia,5,Introduction to HDL,90.5,74.5,80.3,69.6
22-46604,Gabriel Garcia,5,Research Methods,72.6,78.3,84.7,75.4
22-46604,Gabriel Garcia,5,Filipino sa Iba't Ibang Disiplina,94.6,81.1,91.4,73.7
22-46604,Gabriel Garcia,6,Microprocessors,83.4,73.1,84.1,70.3
22-46604,Gabriel Garcia,6,Software Design,78.2,87.3,83.3,79.0
22-46604,Gabriel Garcia,6,Routing and Switching (CISCO 2),79.9,79.3,76.0,76.9
22-46604,Gabriel Garcia,6,Digital Signal Processing,91.5,81.9,88.3,77.7
22-46604,Gabriel Garcia,6,Emerging Technologies in CpE,80.7,84.6,86.6,84.2
22-46604,Gabriel Garcia,6,CpE Practice and Design 1,89.6,80.2,75.4,76.1
22-46604,Gabriel Garcia,6,Cognate/Elective Course 2,92.1,82.2,79.1,72.6
22-46604,Gabriel Garcia,7,Scaling Networks (CISCO 3),80.1,78.7,77.2,82.6
22-46604,Gabriel Garcia,7,Operating Systems,80.7,80.0,71.2,76.5
22-46604,Gabriel Garcia,7,Computer Architecture and Organization,91.5,90.5,78.7,76.7
22-46604,Gabriel Garcia,7,Computer Engineering Drafting and Design,82.3,83.9,79.3,73.6
22-46604,Gabriel Garcia,7,Connecting Networks and Security (CISCO 4),82.9,82.4,74.6,70.8
22-46604,Gabriel Garcia,7,Embedded Systems,93.5,97.0,70.2,65.7
22-46604,Gabriel Garcia,7,Seminars and Fieldtrips,76.8,79.4,82.1,76.2
22-46604,Gabriel Garcia,7,Manufacturing and Quality Control,84.3,83.9,73.3,71.8
22-46604,Gabriel Garcia,7,Cognate/Elective Course 3 (Data Mining / AI Track),82.0,70.1,69.4,65.5
22-46604,Gabriel Garcia,7,ASEAN Literature,87.1,81.5,80.4,61.6
22-46604,Gabriel Garcia,8,Technopreneurship,73.6,84.0,60.1,80.0
22-46604,Gabriel Garcia,8,On-the-Job Training,71.6,85.1,71.4,78.9
22-46604,Gabriel Garcia,8,CpE Practice and Design 2,98.0,66.4,80.9,61.8
22-63430,Elena Santos,1,Introduction to Engineering,80.7,74.6,73.5,63.3
22-63430,Elena Santos,1,Understanding the Self,82.8,67.1,80.1,66.3
22-63430,Elena Santos,1,Mathematics in the Modern World,70.3,85.9,72.8,80.7
22-63430,Elena Santos,1,Readings in Philippine History,85.5,71.0,72.2,69.5
22-63430,Elena Santos,1,Purposive Communication,87.3,78.4,73.7,67.6
22-63430,Elena Santos,1,Differential Calculus,78.4,84.2,73.2,66.9
22-63430,Elena Santos,1,General Chemistry,75.3,73.0,64.8,64.8
22-63430,Elena Santos,1,Computer Programming 1,88.4,75.8,78.0,60.0
22-63430,Elena Santos,2,Engineering Drawing,79.8,73.1,68.2,68.3
22-63430,Elena Santos,2,Contemporary World,75.2,63.1,78.2,70.2
22-63430,Elena Santos,2,Art Appreciation,76.3,70.0,63.9,70.1
22-63430,Elena Santos,2,"Science, Technology and Society",87.8,77.0,64.4,70.1
22-63430,Elena Santos,2,Integral Calculus,78.4,81.5,76.8,60.0
22-63430,Elena Santos,2,Physics 1,82.0,70.3,64.7,68.1
22-63430,Elena Santos,3,Life and Works of Rizal,80.6,66.0,76.9,73.4
22-63430,Elena Santos,3,Ethics,78.4,70.6,66.8,74.9
22-63430,Elena Santos,3,Modern Biology,69.6,82.7,72.2,68.7
22-63430,Elena Santos,3,Computer Engineering as a Discipline,67.9,74.9,76.4,60.8
22-63430,Elena Santos,3,Programming Logic and Design,82.4,77.5,70.0,75.0
22-63430,Elena Santos,3,Discrete Mathematics,65.5,78.4,82.9,77.9
22-63430,Elena Santos,3,Fundamentals of Electrical Engineering,78.7,72.3,67.2,65.4
22-63430,Elena Santos,3,Computer-Aided Design,79.7,69.3,75.6,80.0
22-63430,Elena Santos,4,Engineering Economics,77.8,67.7,64.6,73.4
22-63430,Elena Santos,4,Engineering Data Analysis,78.4,81.6,70.0,74.3
22-63430,Elena Santos,4,Differential Equations,77.8,72.0,70.8,62.1
22-63430,Elena Santos,4,Object Oriented Programming,91.3,76.4,77.7,66.6
22-63430,Elena Santos,4,Advanced Engineering Mathematics for CpE,72.4,75.0,79.8,66.1
22-63430,Elena Santos,4,Cognate/Elective Course 1,74.2,77.9,76.8,79.7
22-63430,Elena Santos,4,Electronic Circuits: Devices and Analysis,78.5,78.0,75.4,60.3
22-63430,Elena Santos,4,Basic Occupational Health and Safety,72.4,69.3,64.7,73.6
22-63430,Elena Santos,4,Numerical Methods,80.5,76.8,60.0,81.6
22-63430,Elena Santos,4,Kontekstwalisadong Komunikasyon sa Filipino,72.8,88.1,64.0,63.9
22-63430,Elena Santos,5,Logic Circuits and Design,63.2,76.3,64.4,60.8
22-63430,Elena Santos,5,Data Structures and Algorithms,71.1,81.7,78.1,80.7
22-63430,Elena Santos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",75.3,78.3,66.1,67.8
22-63430,Elena Santos,5,Fundamentals of Mixed Signals and Sensors,73.3,76.9,77.1,73.2
22-63430,Elena Santos,5,Feedback and Control Systems,73.7,82.3,72.9,67.3
22-63430,Elena Santos,5,Introduction to HDL,72.1,70.7,81.5,69.1
22-63430,Elena Santos,5,Research Methods,79.2,74.2,87.4,76.6
22-63430,Elena Santos,5,Filipino sa Iba't Ibang Disiplina,73.8,74.2,71.4,69.7
22-63430,Elena Santos,6,Microprocessors,72.2,76.7,79.8,60.0
22-63430,Elena Santos,6,Software Design,72.6,74.1,71.2,81.8
22-63430,Elena Santos,6,Routing and Switching (CISCO 2),85.4,82.7,72.2,68.1
22-63430,Elena Santos,6,Digital Signal Processing,70.0,81.0,76.2,77.0
22-63430,Elena Santos,6,Emerging Technologies in CpE,78.1,76.1,74.8,75.2
22-63430,Elena Santos,6,CpE Practice and Design 1,69.3,80.2,72.6,62.4
22-63430,Elena Santos,6,Cognate/Elective Course 2,66.9,76.2,82.5,79.9
22-63430,Elena Santos,7,Scaling Networks (CISCO 3),81.5,88.8,73.6,75.6
22-63430,Elena Santos,7,Operating Systems,76.7,73.9,69.8,60.0
22-63430,Elena Santos,7,Computer Architecture and Organization,84.1,70.2,66.2,60.1
22-63430,Elena Santos,7,Computer Engineering Drafting and Design,75.2,84.7,83.6,60.0
22-63430,Elena Santos,7,Connecting Networks and Security (CISCO 4),77.3,70.8,79.8,71.6
22-63430,Elena Santos,7,Embedded Systems,72.6,74.5,68.2,76.9
22-63430,Elena Santos,7,Seminars and Fieldtrips,81.4,79.8,60.0,68.4
22-63430,Elena Santos,7,Manufacturing and Quality Control,88.9,82.1,60.0,65.3
22-63430,Elena Santos,7,Cognate/Elective Course 3 (Data Mining / AI Track),72.2,87.3,75.3,65.2
22-63430,Elena Santos,7,ASEAN Literature,78.4,60.2,66.2,69.0
22-63430,Elena Santos,8,Technopreneurship,83.2,64.2,70.4,74.8
22-63430,Elena Santos,8,On-the-Job Training,69.5,77.2,73.1,79.1
22-63430,Elena Santos,8,CpE Practice and Design 2,76.8,74.8,77.8,60.8
22-50066,Ana Castro,1,Introduction to Engineering,75.0,71.3,70.1,72.2
22-50066,Ana Castro,1,Understanding the Self,79.6,69.5,71.8,76.1
